Data,Return,Return_Petr4,Return_BTC,Return_Shift
8/1/2017,0.904126214,1.218583397,-5.333329053,0.645831107
8/2/2017,0.932106561,-1.279157261,3.59115589,0.904126214
8/3/2017,-0.534735462,2.972560976,-7.179487039,0.932106561
8/4/2017,0.181200114,-1.4803849,-1.515144282,-0.534735462
8/7/2017,1.557595145,0.676183321,5.319142031,0.181200114
8/8/2017,-0.060347365,1.119402985,4.444446683,1.557595145
8/9/2017,-0.335792869,-0.442804428,3.151854442,-0.060347365
8/10/2017,-1.00338402,0.222386953,-4.644801729,-0.335792869
8/11/2017,0.547826606,-2.440828402,-1.347712776,-1.00338402
8/14/2017,1.374723496,-1.819560273,3.342623118,0.547826606
8/15/2017,0.102511533,1.003861004,2.571433835,1.374723496
8/16/2017,0.349645234,0.535168196,19.04761216,0.102511533
8/17/2017,-0.899495583,-0.152091255,0.684928115,0.349645234
8/18/2017,1.085661327,-0.609291698,-2.341140002,-0.899495583
8/21/2017,-0.116422906,4.214559387,3.103453725,1.085661327
8/22/2017,2.004808043,-1.911764706,6.2270986,-0.116422906
8/23/2017,0.667038037,3.373313343,16.66667779,2.004808043
8/24/2017,0.92936803,-0.217548949,-3.305786936,0.667038037
8/25/2017,-0.082943219,0.290697674,6.140348196,0.92936803
8/28/2017,-0.080198103,0.579710145,-1.724138694,-0.082943219
8/29/2017,0.440739541,-0.07204611,-4.918026293,-0.080198103
8/30/2017,-0.622458993,-0.144196107,-2.788843625,0.440739541
8/31/2017,-0.071946506,-2.888086643,2.868851404,-0.622458993
9/1/2017,1.53596386,1.486988848,0.826442725,-0.071946506
9/4/2017,0.286417419,2.710622711,4.761905344,1.53596386
9/5/2017,0.030500908,1.069900143,0.434783042,0.286417419
9/6/2017,1.747723524,1.693719125,0.877189439,0.030500908
9/12/2017,0.296021206,1.903467029,3.940888665,1.696793881
9/13/2017,0.334053314,-0.800533689,-8.968605364,0.296021206
9/14/2017,-0.175161791,1.07599193,-0.446435517,0.334053314
9/15/2017,1.473405039,0.066533599,3.225807855,-0.175161791
9/18/2017,0.307562337,0,0.462958065,1.473405039
9/19/2017,-0.021055402,0,-6.086949925,0.307562337
9/20/2017,0.039487193,0.664893617,-2.953590758,-0.021055402
9/21/2017,-0.52628809,4.821664465,-1.249989886,0.039487193
9/22/2017,-0.283053807,-1.260239445,-6.976745551,-0.52628809
9/25/2017,-1.256134766,0.127632419,-16.50485607,-0.283053807
9/26/2017,-0.166570396,0.956022945,14.86987751,-1.256134766
9/27/2017,-0.702377589,-1.767676768,9.795921837,-0.166570396
9/28/2017,-0.311665786,-1.606683805,-3.921561222,-0.702377589
9/29/2017,0.988214825,0.195950359,-1.16278999,-0.311665786
10/2/2017,0.088836245,-0.260756193,-6.521749541,0.988214825
10/3/2017,3.231576116,0.653594771,0,0.088836245
10/4/2017,-0.224066282,3.766233766,8.235305397,3.231576116
10/5/2017,0.035252184,-2.002503129,-0.778216887,-0.224066282
10/6/2017,-0.734814273,1.53256705,7.98319436,0.035252184
10/9/2017,-0.431266846,-1.320754717,-0.418405857,-0.734814273
10/10/2017,1.545023572,1.274697259,0,-0.431266846
10/11/2017,-0.308204481,1.887986155,4.824555573,1.545023572
10/17/2017,-0.89866306,0.248762438,0.873367212,-0.127289258
10/18/2017,0.511804307,0.062022329,9.56937045,-0.89866306
10/19/2017,-0.402136021,0.185995052,-0.947868071,0.511804307
10/20/2017,0.141578071,-0.061881188,1.442310713,-0.402136021
10/23/2017,-1.280255527,0.433430341,12.43242792,0.141578071
10/24/2017,1.242491348,-0.123292239,3.932587017,-1.280255527
10/25/2017,0.42043222,1.913573956,2.298850878,1.242491348
10/26/2017,-1.010812432,1.271950333,-2.793294718,0.42043222
10/27/2017,0.1054074,0.059814597,0,-1.010812432
